 will to register next: {'params': {'mgs': 7.320746615913301, 'mrc': 0.05245841018787126, 'pd': 0.9556947564937015, 'pr': 0.22455356560693623}, 'target': 25.454545454545453}.
 will to register next: {'params': {'mgs': 45.851415659677414, 'mrc': 0.09883118362596155, 'pd': 0.9776335377721088, 'pr': 0.29866478095077476}, 'target': 16.363636363636363}.
 will to register next: {'params': {'mgs': 18.186649831767106, 'mrc': 0.007884750942040252, 'pd': 0.9907882832504703, 'pr': 0.2532303641431398}, 'target': 27.272727272727273}.
 will to register next: {'params': {'mgs': 66.0919103998393, 'mrc': 0.0429783477065446, 'pd': 0.9348211028445996, 'pr': 0.06447138152658045}, 'target': 20.0}.
 will to register next: {'params': {'mgs': 7.521119185085681, 'mrc': 0.09012590553752031, 'pd': 0.9533992244020079, 'pr': 0.22932604729751066}, 'target': 23.636363636363637}.
 will to register next: {'params': {'mgs': 63.264280284639426, 'mrc': 0.037478818999453045, 'pd': 0.9442969095727476, 'pr': 0.20978676568745647}, 'target': 18.181818181818183}.
 will to register next: {'params': {'mgs': 44.554038942539556, 'mrc': 0.03847986708657364, 'pd': 0.9735071530345364, 'pr': 0.22268748900934665}, 'target': 18.181818181818183}.
 will to register next: {'params': {'mgs': 20.81495036506828, 'mrc': 0.04757463775916935, 'pd': 0.943930916035567, 'pr': 0.28058246030931816}, 'target': 14.545454545454545}.
 will to register next: {'params': {'mgs': 22.539787862882797, 'mrc': 0.004926272380802133, 'pd': 0.9254443162912345, 'pr': 0.24786345092589396}, 'target': 27.272727272727273}.
 will to register next: {'params': {'mgs': 7.790835812154162, 'mrc': 0.06572960511972661, 'pd': 0.9785176277964869, 'pr': 0.2404633871184219}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 26.33191103822913, 'mrc': 0.05233505330630039, 'pd': 0.9834206620963623, 'pr': 0.09541181344638434}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 52.18628996340121, 'mrc': 0.058105677839588726, 'pd': 0.9049302713520511, 'pr': 0.20747361459669794}, 'target': 30.90909090909091}.
 will to register next: {'params': {'mgs': 0.8004257931002989, 'mrc': 0.04210409086927344, 'pd': 0.9747564006012261, 'pr': 0.2531570002283939}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 36.92881500731258, 'mrc': 0.009308106599406474, 'pd': 0.9903706658537588, 'pr': 0.1362379478259414}, 'target': 18.181818181818183}.
 will to register next: {'params': {'mgs': 20.661679555668258, 'mrc': 0.02724123982627176, 'pd': 0.9993965151056541, 'pr': 0.2811996996123715}, 'target': 20.0}.
 will to register next: {'params': {'mgs': 71.54297558523, 'mrc': 0.07652312467452693, 'pd': 0.9400828294296434, 'pr': 0.053573665936284945}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 74.13251117530007, 'mrc': 0.06025447715465707, 'pd': 0.9583636632157492, 'pr': 0.22979819603738705}, 'target': 41.81818181818182}.
 will to register next: {'params': {'mgs': 55.35461514976628, 'mrc': 0.0463896971122741, 'pd': 0.9070259966245968, 'pr': 0.2072669934807122}, 'target': 29.09090909090909}.
 will to register next: {'params': {'mgs': 75.5745788250904, 'mrc': 0.04507377553809662, 'pd': 0.9517131306009863, 'pr': 0.12541487343592}, 'target': 9.090909090909092}.
